# flat_index,plug_depth
297364,0.009341
185679,0.314198
177591,0.131820
327145,0.005179
346968,0.125490
681283,0.206907
573197,0.123361
390677,0.545337
712753,0.249792
627700,0.152545
302703,0.102343
319491,0.005976
214973,0.061331
241136,0.197780
538354,0.105997
304181,0.008500
389257,0.010040
402117,0.005674
214116,0.061031
320533,0.023683
183448,0.094132
251973,0.456338
599397,0.223529
638750,0.165464
235967,0.195147
462556,0.027053
186543,0.297506
365402,0.011279
495747,0.060196
557887,0.119433
313231,0.534947
402874,0.012670
614534,0.411653
622552,0.146053
234501,0.035324
217189,0.262109
553254,0.513779
649811,0.177883
216331,0.267532
659170,0.187453
458776,0.527340
208222,0.118364
444307,0.530290
469353,0.028310
678452,0.341176
397870,0.008838
525579,0.091182
776663,0.425859
627635,0.148640
503439,0.067189
701708,0.228149
276996,0.015686
251487,0.021404
422669,0.075856
212245,0.122318
689816,0.218650
611481,0.135799
241274,0.033574
350665,0.530065
207125,0.144256
348385,0.011593
443742,0.024099
528933,0.110335
763061,0.378466
491513,0.052258
467668,0.030200
797014,0.428241
733227,0.294142
223308,0.123744
305881,0.008180
648063,0.170123
398617,0.011646
191639,0.306281
229254,0.151244
236271,0.050267
582559,0.125691
686395,0.212978
244495,0.186692
504299,0.068462
494074,0.056406
464256,0.027338
648916,0.171612
479484,0.033490
388622,0.028987
422451,0.018652
506831,0.074379
264226,0.017094
192825,0.092529
741697,0.329412
768114,0.437579
452334,0.022757
716156,0.261070
204552,0.159018
746005,0.378916
485168,0.512979
776667,0.414092
483824,0.040134
637003,0.158934
556663,0.499773
383285,0.009769
304207,0.008373
721260,0.276467
365406,0.011111
212211,0.163827
590240,0.129697
193514,0.135496
231159,0.053937
438711,0.017212
534911,0.110551
458770,0.528405
352074,0.123433
229260,0.138421
675038,0.341176
310121,0.007219
181761,0.101771
562152,0.120884
224328,0.055154
581349,0.470854
549046,0.438594
371095,0.540042
479500,0.040644
648964,0.176236
457342,0.025354
791020,0.372524
801272,0.451718
366294,0.009625
289082,0.102208
299295,0.102111
498302,0.065108
519606,0.087508
222347,0.202809
676189,0.203558
543465,0.109804
209544,0.255951
488125,0.052535
634486,0.161281
378411,0.025172
473633,0.034644
794421,0.372226
218184,0.153530
350326,0.020955
631963,0.154918
238000,0.129412
173933,0.150453
505987,0.070846
190244,0.089927
394343,0.010810
374510,0.540821
810411,0.352941
621734,0.147731
264389,0.109861
155442,0.158009
520423,0.103295
203480,0.395798
351180,0.021879
153310,0.399399
488925,0.046154
228647,0.118105
533214,0.107749
709342,0.237079
234496,0.035406
773260,0.417684
774106,0.432045
751941,0.386897
277787,0.011765
517933,0.081891
204444,0.251816
437783,0.023046
216387,0.208117
396920,0.011189
745082,0.326852
367102,0.011262
224351,0.057844
226005,0.044294
797890,0.462621
302461,0.008080
453214,0.027787
158000,0.155257
323133,0.115912
431061,0.018137
202988,0.082186
236071,0.138243
374499,0.540806
245341,0.187436
757937,0.395939
775814,0.418879
231707,0.199865
246307,0.060234
162244,0.169697
620047,0.146325
189078,0.316802
558364,0.499767
291435,0.011157
630260,0.153745
210415,0.229284
164768,0.160954
347582,0.005682
253121,0.033345
191199,0.123251
684703,0.212569
